99,5
99,6
99,6
99,8
99,7
99,9
100,0
100,2
100,2
100,3
100,6
100,6
100,6
100,9
101,2
101,2
101,4
101,5
101,5
101,5
101,5
101,6
101,8
101,9
100,4
100,4
100,7
101,0
101,4
101,7
102,0
102,3
102,4
102,4
102,6
102,9
102,9
103,1
103,1
103,1
103,6
104,0
104,3
104,4
104,4
104,4
104,5
104,5
104,5
105,3
105,3
105,4
105,4
105,7
105,9
105,9
106,2
106,2
106,3
106,3
106,4
106,9
106,9
107,1
107,1
107,4
107,4
107,5
107,5
107,6
107,6
107,6
107,6
108,2
108,5
108,6
108,6
108,8
108,8
109,0
109,3
109,8
