"Gebiet";"Jahr";"Monat";"Arbeitslose";"Arbeitslosenquote aller zivilen Erwerbspersonen";"Arbeitslosenquote d. Abhaengigen ziv. Erwerbspers.";"Gemeldete Stellen";"Kurzarbeiter";"Kurzarbeitende Betriebe"
"Neue Bundesländer";"2010";"May";1016404;12;13,4;60765;82977;11626
"Neue Bundesländer";"2010";"June";976534;11,6;12,9;61651;71104;10531
"Neue Bundesländer";"2010";"July";981903;11,6;13;62918;55760;9156
"Neue Bundesländer";"2010";"August";968316;11,5;12,8;62036;48970;8636
"Neue Bundesländer";"2010";"September";926533;11;12,3;62530;45221;8073
"Neue Bundesländer";"2010";"October";900876;10,7;11,9;62376;41880;7438
"Neue Bundesländer";"2010";"November";900585;10,7;11,9;62290;42674;7375
"Neue Bundesländer";"2010";"December";946665;11,2;12,5;59008;70162;10893
"Neue Bundesländer";"2011";"January";1074777;12,7;14,2;59465;87417;12667
"Neue Bundesländer";"2011";"February";1074947;12,7;14,2;68478;83495;12577
"Neue Bundesländer";"2011";"March";1043176;12,4;13,8;72788;68699;11040
"Neue Bundesländer";"2011";"April";992721;11,8;13,1;74294;31400;5539
"Neue Bundesländer";"2011";"May";948674;11,3;12,6;73808;27264;4568
"Neue Bundesländer";"2011";"June";921836;10,9;12,2;75558;23741;3773
"Neue Bundesländer";"2011";"July";929356;11;12,3;77679;15589;3037
"Neue Bundesländer";"2011";"August";920379;10,9;12,2;79625;15036;2637
"Neue Bundesländer";"2011";"September";877354;10,4;11,6;80286;16669;2396
"Neue Bundesländer";"2011";"October";860675;10,2;11,4;80321;16839;2142
"Neue Bundesländer";"2011";"November";862165;10,2;11,4;80704;19464;2169
"Neue Bundesländer";"2011";"December";893251;10,6;11,8;76275;49968;5889
"Neue Bundesländer";"2012";"January";999340;11,9;13,3;76259;91597;10140
"Neue Bundesländer";"2012";"February";1005956;11,9;13,3;82214;109968;12323
"Neue Bundesländer";"2012";"March";976889;11,6;13;86203;67568;8533
"Neue Bundesländer";"2012";"April";939524;11,2;12,5;88897;20161;1684
"Neue Bundesländer";"2012";"May";891127;10,6;11,8;88108;16075;1365
"Neue Bundesländer";"2012";"June";862947;10,3;11,5;87153;13819;1215
"Neue Bundesländer";"2012";"July";870148;10,3;11,6;86963;12595;1063
"Neue Bundesländer";"2012";"August";869191;10,3;11,5;85524;11490;930
"Neue Bundesländer";"2012";"September";835480;9,9;11,1;84614;13709;898
"Neue Bundesländer";"2012";"October";824052;9,8;10,9;81238;17185;919
"Neue Bundesländer";"2012";"November";825890;9,8;11;81142;19536;1025
"Neue Bundesländer";"2012";"December";865961;10,3;11,5;75826;88630;7448
"Neue Bundesländer";"2013";"January";966607;11,5;12,8;76194;124623;11097
"Neue Bundesländer";"2013";"February";967753;11,5;12,9;82190;113762;11816
"Neue Bundesländer";"2013";"March";947244;11,3;12,6;85761;113935;12303
"Neue Bundesländer";"2013";"April";912487;10,8;12,1;85561;25149;2078
"Neue Bundesländer";"2013";"May";869246;10,3;11,5;84285;19891;1470
"Neue Bundesländer";"2013";"June";835979;9,9;11,1;84470;27951;2981
"Neue Bundesländer";"2013";"July";837704;9,9;11,1;86660;17761;1787
"Neue Bundesländer";"2013";"August";838770;9,9;11,1;87751;15827;1459
"Neue Bundesländer";"2013";"September";811608;9,6;10,8;88288;15776;1202
"Neue Bundesländer";"2013";"October";802895;9,5;10,7;88481;17178;1076
"Neue Bundesländer";"2013";"November";810123;9,6;10,8;86658;14018;1041
"Neue Bundesländer";"2013";"December";839528;9,9;11,1;83313;44058;4872
"Neue Bundesländer";"2014";"January";928428;11;12,3;81112;84470;9612
"Neue Bundesländer";"2014";"February";927706;11;12,3;88184;104355;9234
"Neue Bundesländer";"2014";"March";895178;10,6;11,9;94186;49883;6798
"Neue Bundesländer";"2014";"April";849656;10;11,3;95049;14405;1186
"Neue Bundesländer";"2014";"May";821006;9,7;10,9;93865;12811;1018
"Neue Bundesländer";"2014";"June";798746;9,5;10,6;96672;10948;892
"Neue Bundesländer";"2014";"July";795775;9,4;10,6;96909;8960;805
"Neue Bundesländer";"2014";"August";797022;9,4;10,6;98440;8350;732
"Neue Bundesländer";"2014";"September";770628;9,1;10,3;98312;8453;718
"Neue Bundesländer";"2014";"October";758370;9;10,1;97101;9004;707
"Neue Bundesländer";"2014";"November";760053;9;10,1;98073;9427;754
"Neue Bundesländer";"2014";"December";783448;9,3;10,4;95378;40847;5335
"Neue Bundesländer";"2015";"January";871146;10,3;11,6;94245;70329;9055
"Neue Bundesländer";"2015";"February";864030;10,2;11,5;101086;77077;9778
"Neue Bundesländer";"2015";"March";834241;9,9;11,1;105698;59590;8312
"Neue Bundesländer";"2015";"April";798957;9,5;10,6;106059;11400;1048
"Neue Bundesländer";"2015";"May";766572;9,1;10,2;106656;9177;891
"Neue Bundesländer";"2015";"June";742429;8,8;9,9;109084;9844;857
"Neue Bundesländer";"2015";"July";754127;9;10;111636;7401;745
"Neue Bundesländer";"2015";"August";753543;9;10;113477;5861;620
"Neue Bundesländer";"2015";"September";729464;8,7;9,7;114581;8669;590
"Neue Bundesländer";"2015";"October";719399;8,6;9,6;119372;10177;626
"Neue Bundesländer";"2015";"November";717411;8,5;9,5;118536;10128;691
"Neue Bundesländer";"2015";"December";738619;8,8;9,8;115202;35434;4634
"Neue Bundesländer";"2016";"January";808966;9,6;10,7;114949;78963;10125
"Neue Bundesländer";"2016";"February";803719;9,6;10,7;121909;74838;9589
"Neue Bundesländer";"2016";"March";779617;9,3;10,4;126239;58967;8000
"Neue Bundesländer";"2016";"April";739726;8,8;9,8;127028;11842;871
"Neue Bundesländer";"2016";"May";709149;8,4;9,4;127909;10744;697
"Neue Bundesländer";"2016";"June";686460;8,2;9,1;129306;9650;636
"Neue Bundesländer";"2016";"July";690495;8,2;9,2;128914;6089;508
"Neue Bundesländer";"2016";"August";686649;8,2;9,1;131966;9633;526
"Neue Bundesländer";"2016";"September";665532;7,9;8,8;131326;9139;498
"Neue Bundesländer";"2016";"October";651530;7,7;8,6;131046;9346;472
"Neue Bundesländer";"2016";"November";654527;7,8;8,7;129294;9569;526
"Neue Bundesländer";"2016";"December";671263;8;8,9;127465;39195;5657
"Neue Bundesländer";"2017";"January";729654;8,7;9,7;125795;"...";"..."
"Neue Bundesländer";"2017";"February";722699;8,6;9,6;131770;"...";"..."
"Neue Bundesländer";"2017";"March";688026;8,2;9,1;135065;"...";"..."
"Neue Bundesländer";"2017";"April";651985;7,7;8,6;136467;"...";"..."
"Neue Bundesländer";"2017";"May";626624;7,4;8,3;136620;"...";"..."
"Neue Bundesländer";"2017";"June";615512;7,3;8,1;138400;"...";"..."
"Neue Bundesländer";"2017";"July";620612;7,4;8,2;140697;"...";"..."
"Neue Bundesländer";"2017";"August";"...";"...";"...";"...";"...";"..."
"Neue Bundesländer";"2017";"September";"...";"...";"...";"...";"...";"..."
"Neue Bundesländer";"2017";"October";"...";"...";"...";"...";"...";"..."
"Neue Bundesländer";"2017";"November";"...";"...";"...";"...";"...";"..."
"Neue Bundesländer";"2017";"December";"...";"...";"...";"...";"...";"..."
